Hesitant,,Best Homemade Pizza,Everyone makes a pizza from scratch (including dough); group votes on the best,,,,,,
Excellent but needs work,,Most Items Bargained Down at a Market,Visit a flea market or swap meet; whoever successfully negotiates the most price reductions wins,,,,,,
Excellent but needs work,,Furthest Distance Traveled on $20,"Using only $20 for all transportation, travel as far from your starting point as possible in one day",,,,,,
No,,Best Impression of Another Group Member,Everyone does their best impression of another participant; group votes on most accurate,,,,,,
Hesitant,,Fastest Time to Run an Errand in Formal Wear,"Complete a mundane errand (grocery run, post office, etc.) while wearing a full suit or formal dress; fastest documented errand wins",,,,,,
Excellent but needs work,,Most Creative Duct Tape Creation,"Given one roll of duct tape, make the most impressive item in 2 hours; group votes",,,,,,
No,,Best Karaoke Performance,Everyone sings one karaoke song at the same venue; audience or group votes on the best performance,,,,,,
Excellent but needs work,,Highest Score on a Specific Arcade Game,Everyone plays the same arcade game; highest score wins,,,,,,
Hesitant,,Best Negotiated Deal on a Hotel Room,Call hotels and negotiate the lowest rate for the same night and room type; lowest confirmed price wins,,,,,,
Excellent but needs work,,Make a very long secret handshake with someone,,,,,,,
Default,Improvement Notes,Title,Description,Estimated Time,Difficulty,Completion Criteria,Category,Social,
Default,Dupes: #72 Give Blood or Register,Donate Blood,Visit a blood bank or donation center and donate blood or plasma,1-2 hours,Medium,Donation receipt or bandage photo,Social,,abbs2882
Default,,Karaoke Night,Perform karaoke at a bar or public venue in front of an audience of strangers,1-2 hours,Medium,Video or photo of you performing karaoke at a public venue,Social,,abbs2882
Duplicate,Dupe of: #87 Take Cold Showers for 30 Days; #319 Do a Polar Plunge with a Friend,Cold Shower for 7 Days,Take a cold shower or cold plunge (minimum 2 minutes of cold exposure) every day for 7 consecutive days,7 days,Medium,7 consecutive days of cold exposure documented,Physical,,abbs2882
No,,Get Scuba Certified,Complete a PADI Open Water or equivalent scuba diving certification course,2-4 weeks,Hard,Scuba certification card received,Achievement,,vikingnips
Default,,Donate Clothes to a Shelter,Gather clothes you no longer wear and donate them directly to a homeless shelter or clothing bank,2-3 hours,Easy,Donation made with receipt or photo at the shelter,Social,,vikingnips
Default,,Cook a Meal for a Stranger,Prepare a homemade meal and share it with someone you don't know personally,3-5 hours,Medium,"Meal prepared and shared with a stranger, with photo",Social,,mop559
Default,,Enter an Unfamiliar Competition,"Sign up for and compete in a tournament or competition in a skill or sport you have little to no experience with (chess tournament, pickleball league, spelling bee, etc.)",Variable,Medium,Competed in event (winning not required),Achievement,,mop559
Default,,Negotiate 20% Off,Successfully negotiate at least 20% off a purchase or bill (food,car,service,subscription),30 min,Medium Receipt or documentation showing negotiated discount of 20%+ Achievement,mop559
Default,Dupes: #318 Build a Piece of Furniture Together,Build a Piece of Furniture,Design and build a functional piece of furniture from raw materials (no flat-pack kits),1-4 weeks,Hard,Functional furniture piece completed and in use with photo,Creative,,mop559
Default,,Get in Your Local Newspaper,Do something noteworthy enough to be mentioned or featured in your local newspaper or news outlet,Variable,Hard,Published article or mention with your name,Achievement,,mop559
Default,,Visit Another Player in Their City,Travel to visit another Big Year participant in their home city and spend meaningful time together,1-3 days,Medium,Photo together in their city,Social,Collaborative,carsonr.
Default,,Learn to Ride a Unicycle,Learn to ride a unicycle well enough to travel at least 50 feet without falling,2-8 weeks,Hard,Video of riding 50+ feet unassisted,Physical,,gaberoni24
Default,,Plant a Tree,Plant a tree somewhere it can grow long-term (your yard,a community garden,or an organized planting event),1-3 hours,Easy,Tree planted with photo,gaberoni24
Default,,Quit an Addiction,Identify a habit or substance you're dependent on and quit for at least 3 consecutive months,3+ months,Hard,3 consecutive months free from the identified habit,Achievement,,maps3109
Default,,Write a Children's Book,Write and illustrate a children's book about something you're passionate about,2-4 weeks,Medium,"Completed book with text and illustrations, at least 10 pages",Creative,,human_42
Default,,Solo Vacation,Plan and take a vacation entirely by yourself to a destination you've never been,2-7 days,Medium,"Trip completed alone to a new destination, with photos",Achievement,,sherm.the.worm
Default,,Start a Podcast or YouTube Channel,Create a podcast or YouTube channel and publish at least 3 episodes or videos,1-2 months,Medium,3+ episodes/videos published publicly,Creative,,musicatnip
Default,,Hold an Unfamiliar Animal,"Interact with or hold an animal species you've never touched before (reptile, bird of prey, tarantula, etc.)",1-2 hours,Easy,Photo or video of you with the new animal species,Achievement,,musicatnip
Default,,Summit a 14000-Foot Peak,Hike to the summit of a mountain with an elevation above 14000 feet,1-2 days,Hard,Summit photo with elevation marker or GPS proof,Physical,,lewcis
Default,,Try a Combat Sport,"Attend at least 3 classes in a combat sport you've never trained (boxing, jiu jitsu, muay thai, wrestling, etc.)",2-3 weeks,Medium,3 classes completed in a new combat sport,Physical,,lewcis
Default,Dupes: #196 Learn to Juggle Three Balls,Learn to Juggle,Learn to juggle 3 objects for at least 30 consecutive catches,1-4 weeks,Medium,Video of 30+ consecutive catches with 3 objects,Physical,,lewcis
Default,,Sunrise to Sunset Outdoors,Spend an entire day from sunrise to sunset outdoors without going inside for any reason,1 day,Medium,Full day completed outdoors with no indoor visits,Physical,,florencemgormig
Default,,Public Transit Only for a Week,Use only public transportation for all travel for 7 consecutive days. No personal car or rideshare.,1 week,Medium,7 consecutive days without using a personal car or rideshare,Achievement,,lewcis
Default,,Delete a Social Media Account,"Permanently delete one of your social media accounts (Instagram, TikTok, Twitter, Facebook, etc.)",30 min,Easy,Account permanently deleted (not just deactivated),Achievement,,carsonr.
Default,,Thank a Former Teacher,Write and send a heartfelt letter or email to a teacher from your past thanking them for a specific way they impacted your life,1-2 hours,Easy,Letter or email sent referencing a specific moment and its impact on you,Social,,sherm.the.worm
Default,,Go on a Meditation Retreat,Attend a meditation or mindfulness retreat of at least 2 days,2-10 days,Hard,Retreat attended for full duration,Achievement,,romcat100
Default,,Make a New Close Friend,Develop a genuine friendship with someone new. Spend meaningful one-on-one time together at least 5 times.,Variable,Medium,5+ hangouts with someone you weren't friends with at the start of the year,Social,,romcat100
Default,,Talk with an Unhoused Person,"Have a genuine, extended conversation with an unhoused person. Learn their name, hear their story, and share yours.",30-60 min,Medium,Had a real conversation and can share what you learned about their story,Social,,nikikees
Default,,Coffee Chat with a Stranger,"Approach strangers and ask them to have coffee with you until someone says yes, then have a genuine conversation",1-2 hours,Medium,Coffee purchased and real conversation had with a stranger who accepted,Social,,resurgentseven
Default,,Take a Long-Distance Train Ride,Ride Amtrak or equivalent train to a destination more than 12 hours away,12+ hours,Medium,Train ticket and photos from 12+ hour journey,Achievement,,cookie.mobster
Default,,Write a Novel,Write an original novel or novella of at least 50000 words,3-12 months,Hard,Completed manuscript of 50000+ words,Creative,,abbs2882
Default,,Guerrilla Garden,"Plant edible vegetables or herbs in a public space (park, unused lot, grocery store flower bed) and harvest the produce later",3-6 months,Medium,"Plants planted in public space, grown, and produce harvested with photos",Creative,,human_42
Default,Dupes: #45 Sleep Under the Stars; #436 Camp 30 Nights,Sleep Outside Without Gear,Spend a full night sleeping outdoors with no tent or sleeping bag or other camping equipment,1 night,Medium,Full night spent sleeping outdoors with no gear,Physical,,mop559
Default,,High Five 100 Strangers,Get 100 different strangers to high five you in a single day,1 day,Medium,Video evidence of high-fiving 100+ strangers,Social,,gaberoni24
Default,,No Eating Out for a Month,Prepare every meal at home for 30 consecutive days. No restaurants or takeout or delivery.,30 days,Medium,30 consecutive days with only home-cooked meals,Achievement,,mop559
Default,Dupes: #522 Go Skydiving,Go Skydiving,Complete a tandem or solo skydive from at least 10000 feet,Half day,Hard,Jump completed with photo or video,Physical,,sherm.the.worm
Default,,Try a Sensory Deprivation Tank,Spend at least 60 minutes floating in a sensory deprivation tank,1-2 hours,Easy,60+ minute float session completed,Achievement,,gaberoni24
Default,,Pay for the Person Behind You,Pay for the order of the person behind you in a drive-through line,10 min,Easy,Payment made for a stranger's order,Social,,sherm.the.worm
Default,Dupes: #259 Complete an Endurance Goal,Complete a Triathlon,"Train for and complete a triathlon of any distance (sprint, olympic, or full Ironman)",2-6 months,Hard,Triathlon completed with official finish time,Physical,,carsonr.
Default,,Join a Sports League,"Join and complete a season in a recreational sports league (basketball, soccer, volleyball, kickball, etc.)",2-3 months,Medium,Full season completed in a recreational league,Physical,,gaberoni24
Excellent,Dupes: #84 Go Fully Plant-Based for 30 Days,Go Vegan for a Month,Eat a fully vegan diet with no animal products for 30 consecutive days,30 days,Medium,30 consecutive days of fully vegan eating,Physical,,nikikees
Excellent,,Drive a Very Large Vehicle,"Get behind the wheel and drive a bus, semi truck, garbage truck, or other commercial-sized vehicle",1-2 hours,Medium,Photo or video of you driving the vehicle,Achievement,,jack_wittmayer
Excellent,,Capture an Invasive Species,"Legally capture or remove an invasive species in your area (spotted lanternfly, invasive plants, etc.)",1-4 hours,Medium,Photo of captured/removed invasive species with identification,Achievement,,jack_wittmayer
Excellent but needs work,Does this need to be different to account for different people having more or less posentions?,Halve Your Possessions,Get rid of at least half of your material possessions through donation or selling or responsible disposal,1-4 weeks,Hard,Before and after photos showing significant reduction,Achievement,,gaberoni24
Excellent,,Track a Metric and Present It,"Choose a personal metric (mood, sleep, spending, steps, etc.), track it daily for at least 6 months, and give a presentation on your findings",6+ months,Hard,6 months of data collected and presentation delivered to an audience,Achievement,,carsonr.
Excellent but needs work,Change to do something very meaningful or something like that. we cant control if the friend cries.,Make a Friend Cry Tears of Joy,Do something so thoughtful or meaningful for a friend that they cry happy tears,Variable,Medium,Friend confirms they cried tears of joy,Social,,jack_wittmayer
Excellent,,Put an App on the App Store,Build and publish a mobile app on the Apple App Store or Google Play Store,1-3 months,Hard,App live and downloadable with link,Achievement,,sherm.the.worm
Excellent but needs work,Too absurd?,Get a Stranger to Cook You a Meal,Convince a complete stranger to prepare and cook a meal for you,Variable,Hard,"Meal cooked for you by a stranger, with photo",Social,,mop559
Duplicate,Is this a duplicate?. Dupe of: #258 Complete 6 Therapy Sessions,Go to Therapy,Schedule and attend at least 3 sessions with a licensed therapist or counselor,3+ weeks,Medium,3 therapy sessions attended,Achievement,,maps3109
Excellent but needs work,,Pay Down a Loan by 50%,Make extra payments to reduce an outstanding loan or debt balance by at least 50%,Variable,Hard,Statement showing 50%+ reduction from starting balance,Achievement,,carsonr.
Excellent but needs work,Should be slightly more broad to include secular perhaps. or more specific if we want it to be religious.,Attend an Unfamiliar Religious Service,Attend a religious service or ceremony from a faith tradition different from your own (or any tradition if you don't practice),1-3 hours,Easy,Service attended with reflection shared,Social,,vikingnips
Duplicate,Is this a duplicate?. Dupe of: #125 Digital Detox Day; #195 One-Week Social Media Detox,Screen-Free Weekend,Go an entire weekend (Friday evening through Sunday evening) without using any screens. No phone or laptop or TV or tablet.,2 days,Hard,Full weekend completed with zero screen usage,Achievement,,human_42
Excellent,,Learn to Do a Backflip,Learn to perform a standing backflip on flat ground (gym training allowed during learning),1-3 months,Hard,Video of a standing backflip on flat ground,Physical,,resurgentseven
Excellent but needs work,Is this a duplicate?,10000 Steps for 14 Days,Hit at least 10000 steps every single day for 14 consecutive days,14 days,Medium,Step tracking data showing 14 consecutive days of 10000+ steps,Physical,,lewcis
Excellent but needs work,Is this a duplicate?,Learn an Instrument,Pick up a musical instrument you've never played and learn well enough to perform a complete song,1-6 months,Medium,Video of you playing a recognizable song start to finish,Creative,,lewcis
Excellent,,Visit Every National Park in Your State,Visit every national park or national monument in your state,Variable,Medium,Photo at each location documented,Achievement,,lewcis
Excellent,,No Processed Sugar for a Month,Cut out all processed sugar from your diet for 30 consecutive days. Natural sugars from whole fruit are allowed.,30 days,Medium,30 consecutive days without processed sugar,Physical,,gaberoni24
Excellent,,No Spending for a Week,Go 7 consecutive days without spending any money at all. Pre-paid bills like rent and utilities are fine.,1 week,Hard,7 consecutive days with zero transactions,Achievement,,nikikees
Excellent,Dupes: #31 Perform at an Open Mic,Do Stand-Up Comedy at an Open Mic,Write and perform an original stand-up comedy set at an open mic night,1-2 weeks prep,Hard,Performed a set at a real open mic night with video or photo,Creative,,musicatnip
Excellent but needs work,,Keep a Journal for 6 Months,Write in a journal at least 3 times per week for 6 consecutive months,6 months,Medium,"Journal with entries spanning 6 months, averaging 3+ per week",Achievement,,carsonr.
Duplicate,Dupe of: #36 Camp in Your Backyard; #408 Sleep Outside Without Gear,Camp 30 Nights,Spend at least 30 total nights sleeping outdoors in a tent or under the stars this year,1 year,Hard,30 nights of camping documented with dates,Physical,,carsonr.
Excellent but needs work,Is this a duplicate?,Exchange Handwritten Letters,Send a handwritten letter to a friend by mail and receive a handwritten letter back,1-2 weeks,Easy,Letter sent and response received via mail,Social,,nikikees
Excellent,,Try Surströmming,Open and eat Swedish fermented herring (surströmming). Outdoors strongly recommended.,30 min,Medium,Video of opening the can and eating the surströmming,Absurd,,lewcis
Excellent,,Chug a Gallon of Milk,Attempt to drink an entire gallon of milk in one sitting. Barfing is allowed.,30 min,Medium,Video of honest attempt at the full gallon,Absurd,,vikingnips
No,,Officiate a Wedding,Get ordained online and officially officiate someone's wedding ceremony,Variable,Hard,Wedding ceremony officiated by you with photo,Social,,gaberoni24
Excellent but needs work,Too much chance?,Make a Viral Video,Create and post a video or meme that reaches at least 100000 views on any platform,Variable,Hard,Post reaching 100000+ views with screenshot proof,Creative,,sherm.the.worm
Excellent,,Do 50% More Pull-Ups,"Increase your max set of pull-ups by 50% compared to your starting number (e.g., 10 to 15)",1-6 months,Medium,Before and after max pull-up counts documented,Physical,,romcat100
Excellent,,Convince a Wealthy Person to Donate,Convince someone with a $10M+ net worth to make a donation to one of your favorite charities,Variable,Hard,Donation confirmed by the donor or charity,Social,,romcat100
Excellent,,Start a Nonprofit,Start a registered nonprofit organization and raise at least $1000 in donations,Variable,Hard,Nonprofit registered and $1000+ in donations received,Achievement,,sherm.the.worm
Excellent,,Go to a Drag Show in Drag,Attend a drag show while dressed in full drag yourself,3-5 hours,Medium,Photo of you in drag at a drag show,Absurd,,carsonr.
Hesitant,,Give $100 to a Stranger,"Give $100 cash to a kid, stranger, or homeless person with no strings attached",5 min,Easy,$100 given with the moment described or photographed,Social,,sherm.the.worm
Duplicate,Dupe of: #177 Give a Presentation to 20+ People,Publicly Speak,Prepare and deliver a speech or presentation to an audience of 20+ people outside of work,1-2 weeks prep,Medium,Speech delivered to 20+ people with photo or video,Achievement,,carsonr.
Excellent,,Have Conversation with Your 1st Grade Teacher,Track down and have a real conversation with your first grade (or other early) teacher,Variable,Medium,Conversation happened and you can describe what you discussed,Social,,gaberoni24
Hesitant,,Sell Something for Double Its Value,Sell an item for at least twice what you paid for it or twice its current market value,Variable,Medium,Purchase receipt and sale receipt showing 2x+ markup,Achievement,,gaberoni24
Excellent but needs work,,Start a Club at Work,Start a new club or interest group at your workplace and hold at least 3 meetings,1-2 months,Medium,Club created with 3+ meetings held and attendance shown,Social,Collaborative,gaberoni24
Duplicate,Dupe of: #95 Use Your Non-Dominant Hand for a Day,Spend a Day Using Your Non-Dominant Hand,Do everything with your non-dominant hand for an entire waking day. Writing eating brushing teeth everything.,1 day,Easy,Full day completed using only non-dominant hand,Absurd,,musicatnip
Excellent,,Take a Random Stanger to Lunch,"Invite a complete stranger off the street to have lunch with you, you pay. ",1-2 hours,Hard,Lunch completed with a stranger who accepted your invitation,Social,,musicatnip
Excellent,,Test Drive a Luxury Car,Go to a dealership and test drive a car worth $100000+ (Lamborghini or Porsche or similar),1-2 hours,Easy,Photo of you behind the wheel of the luxury car,Achievement,,gaberoni24
Excellent but needs work,Dupe. Dupes: #72 Give Blood or Register,Group Blood Donation,Organize and lead a group of at least 4 people to go donate blood together,2-3 hours,Medium,4+ people donated blood together with group photo,Social,Collaborative,nikikees
Duplicate,Dupe. Dupe of: #360 Best Sandcastle,Best Sandcastle,Build the best sandcastle you can. Winner determined by ranked choice vote among all participants who attempt it.,2-4 hours,Easy,Photo of completed sandcastle submitted for group vote,Creative,Competitive,nikikees
Excellent,,Dance the Thriller,Organize and perform the Thriller dance with a group of 10+ people in a public place,2-4 weeks,Hard,Video of 10+ people performing Thriller together,Creative,Collaborative,jack_wittmayer
Excellent,,Learn to Windmill,Learn the breakdancing windmill move well enough to complete 3 consecutive rotations,1-3 months,Hard,Video of 3+ consecutive windmill rotations,Physical,,jack_wittmayer
Excellent,,Let 10 Species Eat from Your Hand,"Feed animals from 10 different species directly from your hand (squirrels, birds, goats, horses, etc.)",Variable,Medium,Photos of 10 different species eating from your hand,Achievement,,nikikees
Excellent,,See Inside a Datacenter,Get a tour of or access to a datacenter and see the servers in person,Variable,Medium,Photo of you inside a datacenter,Achievement,,nikikees
Excellent but needs work,,Sit Under a Tree Until Enlightenment,Sit under a tree and don't get up until you realize something genuinely important about yourself or the world that you didn't know before,Variable,Medium,Written description of your realization and time spent,Achievement,,nikikees
Excellent,,Frugal Month and Donate Savings,"Remove as many expenses as you can for a full month (eat out less, cancel subscriptions, bike instead of Uber) and donate all the money you saved",1 month,Medium,Documented savings amount and donation receipt,Achievement,,human_42
No,,Put an Ad on a Billboard,Purchase billboard advertising space and put up a message of your choosing,Variable,Medium,Photo of your billboard ad displayed publicly,Creative,,gaberoni24
Excellent but needs work,,Cancel a Subscription Service,"Cancel a streaming or subscription service you don't really need (Netflix, Prime, etc.) for at least 3 months",5 min,Easy,Cancellation confirmation and 3 months without resubscribing,Achievement,,lewcis
Excellent but needs work,,Ask Your Lyft Driver if You Can Drive,Ask your rideshare driver if you can take the wheel instead. The ask is the challenge.,5 min,Medium,The ask happened (outcome doesn't matter),Absurd,,gaberoni24
Excellent but needs work,"Or maybe wax your whole body. lol, maybe minus hair for women?, idk",Wax Your Armpits,Get your armpits professionally waxed at a salon,30 min,Easy,Photo of freshly waxed armpits at the salon,Absurd,,vikingnips
Excellent,,Get Kicked Out of a Casino for Card Counting,Learn basic card counting and get asked to leave a casino for winning too much at blackjack,Variable,Hard,Documentation of being asked to leave a casino,Absurd,,jack_wittmayer
Default,,Build a Tire Swing,Build a functional tire swing from scratch and swing on it,,,,,,
Default,,Build a Treehouse,Build a treehouse or elevated platform sturdy enough to sit in,,,,,,
Default,,Plant a Fruit Tree,Plant a fruit-bearing tree and keep it alive for one full year,,,,,,
Default,,Tread Water for 2 Hours,Stay afloat treading water continuously for 2 hours without touching the bottom or sides,,,,,,
Default,,Learn to Surf,Stand up and ride a wave to shore on a surfboard,,,,,,
Default,,Sail a Boat Solo,Sail a single-person sailboat by yourself for at least 30 minutes,,,,,,
Default,,Crew a Large Sailing Vessel,Serve as active crew on a multi-person sailing vessel for a full day,,,,,,
Default,,Catch a Fish Bare-Handed,Catch a live fish using only your hands (no tools nets or traps) and release it,,,,,,
Default,,Bushcraft Overnight,Spend a night outdoors using only natural materials for shelter and fire (no tent no lighter),,,,,,
Default,,Breathe Fire,Learn fire breathing and successfully perform it (with proper fuel and technique),,,,,,
Default,,Learn to Do the Worm,Learn the worm dance move well enough to travel at least 10 feet across the floor,,,,,,
Default,,Learn to Moonwalk,Learn to moonwalk smoothly enough to do it across a room without stumbling,,,,,,
Default,,Spin a Basketball on Your Finger,Spin a basketball on one finger for at least 10 consecutive seconds,,,,,,
Default,,Escape from a Straightjacket,Get locked into a real straightjacket and escape from it without assistance,,,,,,
Default,,Shit Outside,Successfully take a shit outdoors in nature (Leave No Trace principles apply),,,,,,
Default,,Stretch Every Day for 30 Days,Complete a dedicated stretching session of 10+ minutes every day for 30 consecutive days,,,,,,
Default,,Practice Tai Chi for 30 Days,Follow a Tai Chi routine at least 3 times per week for 30 consecutive days,,,,,,
Default,,Create a Piece of Pottery,Shape and fire a piece of pottery using real clay (wheel or hand-built),,,,,,
Default,,Make a Voodoo Doll,Craft a handmade voodoo doll or poppet using fabric pins and stuffing,,,,,,
Default,,Write a Secret Message in Invisible Ink,Create invisible ink from scratch write a hidden message and have someone else reveal and read it,,,,,,
Default,,Build a Giant Slingshot and Launch a Watermelon,Construct a slingshot large enough to launch a watermelon and successfully fire one,,,,,,
Default,,Build a Potato Clock,Build a functioning clock powered by potatoes and use it as your only timekeeping device for 24 hours,,,,,,
Default,,Build and Maintain a Terrarium,Build a terrarium housing live creatures (isopods snails etc.) and keep it thriving for 90 days,,,,,,
Default,,Learn Balloon Animals,Learn to make at least 5 distinct balloon animal shapes and make them for strangers in public,,,,,,
Default,,Create a Day of the Dead Altar,Build a complete ofrenda honoring someone who has passed with traditional elements,,,,,,
Default,,Grow a Meal from Seed to Plate,Plant grow and harvest enough ingredients to cook a full meal where every ingredient (vegetables protein seasoning) was grown by you from seed,,,,,,
Default,,Go Undercover as Elderly,Apply aging makeup and attend a real event or gathering designed for elderly people,,,,,,
Default,,Get a Pedicure with a Friend,Book and attend a pedicure appointment together with a friend,,,,,,
Default,,Apply Henna Art to Someone,Learn henna application and complete a full henna design on another person's hand or arm,,,,,,
Default,,Attend a Holi Festival,Attend and participate in a Holi festival (color festival),,,,,,
Default,,Repaint and Redecorate a Room,Fully repaint the walls and redecorate one room in your living space with new paint and rearranged or new decor,,,,,,
Default,,Learn to Change a Diaper,Successfully change a real baby's diaper if you've never done it before,,,,,,
Default,,Learn to Pick a Lock,Learn to pick a lock using lockpicking tools and successfully open a locked padlock you own,,,,,,
Default,,Switch to an Ergonomic Keyboard,Purchase and switch to an ergonomic or split keyboard and use it as your primary keyboard for 30 days,,,,,,
Default,,Take an Emergency Preparedness Class,Complete a certified class in CPR first aid or emergency response (e.g. Red Cross or community college),,,,,,
Duplicate,Dupe of: #94 Learn Morse Code and Send a Message,Become Conversational in Morse Code,Memorize Morse code and hold a real-time back-and-forth conversation with another person without referencing a guide,,,,,,
Default,,Make a Trick Shot in Pool,Successfully execute and record a legitimate trick shot in a game of billiards (ask Jackson for specific shot criteria),,,,,,
Default,,Hit a Bullseye with an Arrow,Shoot an arrow and hit the bullseye on a standard archery target,,,,,,
Default,,Paint the Exterior of a Car,Fully paint the exterior of a real car with original designs by hand (not a wrap not a spray booth),,,,,,
Default,,Create Chainsaw Art,Carve a recognizable sculpture from wood or ice using a chainsaw,,,,,,
Default,,Build a Backyard Raku Kiln,Assemble a functional raku kiln in your backyard and fire at least one piece of pottery in it,,,,,,
Default,,Wear Makeup Every Day for a Month,Apply makeup every day for 30 consecutive days (if you don't normally wear it),,,,,,
Default,,Go Makeup-Free for a Month,Go 30 consecutive days without wearing any makeup (if you normally wear it),,,,,,
Default,,Dye Your Hair a Bold Color,Dye your hair a dramatically different or bold color,,,,,,
Default,,Upgrade Your Bedding,Replace your sheets pillows or comforter with noticeably higher quality bedding and sleep on it for 30 nights,,,,,,
Default,,Build a Bat House,Build and install a functional bat house outdoors,,,,,,
Default,,Become a Beekeeper,Set up a beehive and actively maintain a bee colony for at least 3 months,,,,,,
Default,,Build an Epic Blanket Fort,Build a blanket fort large enough to sleep in and spend a full night in it,,,,,,
Default,,Install a Carbon Monoxide Detector,Buy and properly install a carbon monoxide detector in your home,,,,,,
Default,,Get a Radon Test Done,Complete a radon test in your home and review the results,,,,,,
Default,,Eat a Scorpion,Eat an entire scorpion (prepared or dried for consumption),,,,,,
Default,,Eat 5 Different Insects,Eat at least 5 different species of edible insects,,,,,,
Default,,Eat a live insect,Eat a large live insect or grub. Cricket or larger.,,,,,,
Default,,Release a Lantern at a Festival,Attend a lantern festival and release a sky lantern,,,,,,
Default,,Learn Fencing and Win a Bout,Take fencing lessons and win at least one bout in a sanctioned competition or tournament,,,,,,
Duplicate,Dupe of: #411 Go Skydiving,Go Skydiving,Complete a skydive from at least 10000 feet (tandem or solo),,,,,,
Default,,Learn to Pole Vault,Learn to pole vault and successfully clear a bar at any height,,,,,,
