id , created_at                   , title                                               , description                                                                                                                                                                                                                                     , category                            , estimated_time, completion_criteria                                                                                                             , submitted_by   , points, benchmark_elo, is_benchmark, benchmark_points
763, 2026-02-22 02:10:37.105532+00, Hit a Bullseye with an Arrow                        , Shoot an arrow and hit the bullseye on a standard archery target                                                                                                                                                                                , Physical & Achievement              , Hours         , Photo of arrow in bullseye                                                                                                      ,                ,      9,              ,            0, 
769, 2026-02-22 02:10:37.105532+00, Dye Your Hair a Bold Color                          , Dye your hair a dramatically different or bold color                                                                                                                                                                                            , Creative                            , Hours         , Before and after photos of bold color                                                                                           ,                ,     10,              ,            0, 
772, 2026-02-22 02:10:37.105532+00, Build an Epic Blanket Fort                          , Build a blanket fort large enough to sleep in and spend a full night in it                                                                                                                                                                      , Creative & Absurd                   , Hours         , Fort built + full night spent inside with photo                                                                                 ,                ,      8,              ,            0, 
773, 2026-02-22 02:10:37.105532+00, Install a Carbon Monoxide Detector                  , Buy and properly install a carbon monoxide detector in your home                                                                                                                                                                                , Growth/Self                         , Hours         , Detector installed and functioning                                                                                              ,                ,      2,              ,            0, 
774, 2026-02-22 02:10:37.105532+00, Get a Radon Test Done                               , Complete a radon test in your home and review the results                                                                                                                                                                                       , Growth/Self                         , Hours         , Test completed and results reviewed                                                                                             ,                ,      2,              ,            0, 
777, 2026-02-22 02:10:37.105532+00, Release a Lantern at a Festival                     , Attend a lantern festival and release a sky lantern                                                                                                                                                                                             , Social & Growth/Self                , Hours         , Lantern released at festival with photo/video                                                                                   ,                ,     11,              ,            0, 
779, 2026-02-22 02:10:37.105532+00, Take someone on a sunrise picnic                    , Prepare breakfast and watch the sunrise or sunset together from somewhere beautiful.                                                                                                                                                            , Social                              , Hours         , Breakfast prepared + sunrise/sunset shared with someone + photo                                                                 ,                ,     14,              ,            0, 
780, 2026-02-28 23:05:50.284287+00, Judge 300 challenge matchups on the Point Judge page, "https://www.bigyear.xyz/point-judge
                                                                                          "                                                                                                                                                                                                                                               , Achievement                         , Hours         , Screenshot of your point judge page showing how many matchups you've judged!                                                    ,                ,       ,              ,            0, 
   ,                              , Visit a Church of a Different Faith                 , Visit a church of a faith different from your own (Mormon Catholic Buddhist etc.)                                                                                                                                                               , Growth/Self                         , Hours         , Attend a full service at a church of a different faith                                                                          , florencemgormig,       ,              ,             , 
   ,                              , Ouija Board in a Graveyard                          , Use a ouija board in a graveyard or abandoned building                                                                                                                                                                                          , Absurd                              , Hours         , Complete a full ouija board session in a graveyard or abandoned building                                                        , florencemgormig,       ,              ,             , 
   ,                              , Karaoke at a Crowded Bar                            , Do a karaoke performance at a bar filled with people                                                                                                                                                                                            , Social & Creative                   , Hours         , Complete a full karaoke song at a busy bar                                                                                      , florencemgormig,       ,              ,             , 
   ,                              , Horse Riding Lessons                                , Take horse riding lessons                                                                                                                                                                                                                       , Physical                            , Hours         , Complete at least one horse riding lesson                                                                                       , florencemgormig,       ,              ,             , 
   ,                              , Make Paper                                          , Make paper by hand from scratch                                                                                                                                                                                                                 , Creative                            , Hours         , Complete handmade paper                                                                                                         , florencemgormig,       ,              ,             , 
   ,                              , Spend 6 Hours at the Library                        , Spend 6 continuous hours at the library                                                                                                                                                                                                         , Growth/Self                         , Hours         , 6 hours spent at the library in one visit                                                                                       , florencemgormig,       ,              ,             , 
   ,                              , 7am Cold Plunge While Camping                       , Do a 7am cold plunge while camping                                                                                                                                                                                                              , Physical & Absurd                   , Hours         , Early morning cold plunge during a camping trip                                                                                 , florencemgormig,       ,              ,             , 
   ,                              , Play Night Games Until 1am                          , Play night games with 6 or more friends until 1am                                                                                                                                                                                               , Social                              , Hours         , Night games with 6+ friends lasting until at least 1am                                                                          , florencemgormig,       ,              ,             , 
   ,                              , Go Fishing and Catch a Fish                         , Go fishing and catch at least one fish                                                                                                                                                                                                          , Physical                            , Hours         , Photo of a fish you caught                                                                                                      , florencemgormig,       ,              ,             , 
   ,                              , Invent a New Recipe                                 , Create and cook a completely original recipe                                                                                                                                                                                                    , Creative                            , Hours         , Cook an original recipe and document it                                                                                         , florencemgormig,       ,              ,             , 
   ,                              , Try Speed Dating                                    , Attend a speed dating event                                                                                                                                                                                                                     , Social                              , Hours         , Attend and participate in a full speed dating event                                                                             , florencemgormig,       ,              ,             , 
   ,                              , Sneak Into a College Class                          , Sit in on a random college class you're not enrolled in                                                                                                                                                                                         , Absurd & Achievement                , Hours         , Attend a full college lecture you're not enrolled in                                                                            , florencemgormig,       ,              ,             , 
   ,                              , Go Shooting and Hit the Target                      , Go to a shooting range and hit the bullseye/target                                                                                                                                                                                              , Physical & Achievement              , Hours         , Photo of hitting the target at a range                                                                                          , florencemgormig,       ,              ,             , 
   ,                              , Tour a Prison                                       , Tour a prison facility                                                                                                                                                                                                                          , Growth/Self                         , Hours         , Complete a prison tour                                                                                                          , florencemgormig,       ,              ,             , 
   ,                              , Propose to a Stranger                               , Propose to a stranger and get them to pretend to say yes                                                                                                                                                                                        , Absurd & Social                     , Hours         , Video of a fake proposal with a stranger agreeing                                                                               , florencemgormig,       ,              ,             , 
   ,                              , Tour a History Museum                               , Tour a history museum you haven't visited before                                                                                                                                                                                                , Growth/Self                         , Hours         , Visit and explore a history museum                                                                                              , florencemgormig,       ,              ,             , 
   ,                              , Go on a Haunted Tour                                , Go on a haunted tour of a famously haunted location (like The Shining hotel Queen Mary etc.)                                                                                                                                                    , Absurd                              , Hours         , Complete a haunted location tour                                                                                                , florencemgormig,       ,              ,             , 
   ,                              , Clean Your Yard                                     , Clean your entire yard (weeding mowing organizing) or apartment outdoor area                                                                                                                                                                    , Growth/Self                         , Hours         , Before and after photos of a cleaned yard/outdoor space. You should feel more comfortable spending time in the yard than before., florencemgormig,       ,              ,             , 
   ,                              , Say No to an Unwanted Commitment                    , Say no to a commitment you actually don't want to do or don't have the capacity for                                                                                                                                                             , Growth/Self                         , Hours         , Successfully decline a commitment you would normally reluctantly accept                                                         , sherm.the.worm ,       ,              ,             , 
   ,                              , Shave Your Head                                     , Shave your head completely bald                                                                                                                                                                                                                 , Absurd                              , Hours         , Before and after photos of shaved head                                                                                          , sherm.the.worm ,       ,              ,             , 
   ,                              , Make a Boondoggle                                   , Make a boondoggle (lanyard craft)                                                                                                                                                                                                               , Creative                            , Hours         , Complete a boondoggle craft                                                                                                     , sherm.the.worm ,       ,              ,             , 
   ,                              , Make 5 Friendship Bracelets                         , Make 5 friendship bracelets and give them to your friends                                                                                                                                                                                       , Creative & Social                   , Hours         , 5 handmade bracelets given to 5 friends                                                                                         , sherm.the.worm ,       ,              ,             , 
   ,                              , Try a Bidet                                         , Try using a bidet and/or install one in your bathroom                                                                                                                                                                                           , Absurd                              , Hours         , Use a bidet or install one                                                                                                      , sherm.the.worm ,       ,              ,             , 
   ,                              , Run 1 Mile Barefoot                                 , Run 1 full mile completely barefoot                                                                                                                                                                                                             , Physical & Absurd                   , Hours         , Complete a 1-mile barefoot run                                                                                                  , sherm.the.worm ,       ,              ,             , 
   ,                              , Save 100 Worms in a Rainstorm                       , Save 100 worms from dying on sidewalks during a rainstorm                                                                                                                                                                                       , Absurd & Growth/Self                , Hours         , 100 worms moved to safety during rain                                                                                           , sherm.the.worm ,       ,              ,             , 
   ,                              , Apply to Donate a Kidney                            , Apply to donate a kidney through an official organ donation program                                                                                                                                                                             , Growth/Self                         , Hours         , Submit an official kidney donation application                                                                                  , sherm.the.worm ,       ,              ,             , 
   ,                              , Hug a Chicken                                       , Consensually hug a chicken (the chicken must come to you willingly)                                                                                                                                                                             , Absurd                              , Hours         , Photo/video of hugging a willing chicken                                                                                        , sherm.the.worm ,       ,              ,             , 
   ,                              , Dance on Bubble Wrap                                , Dance on bubble wrap until all the bubbles are popped                                                                                                                                                                                           , Absurd                              , Hours         , Video of popping all bubbles on a sheet of bubble wrap by dancing                                                               , sherm.the.worm ,       ,              ,             , 
   ,                              , Movie Theater Solo                                  , See a movie at the theater alone                                                                                                                                                                                                                , Growth/Self                         , Hours         , Attend a movie screening by yourself                                                                                            , sherm.the.worm ,       ,              ,             , 
   ,                              , Dance in Public by Yourself                         , Dance on the street in public by yourself with no music playing                                                                                                                                                                                 , Absurd & Growth/Self                , Hours         , Video of solo dancing in public                                                                                                 , sherm.the.worm ,       ,              ,             , 
   ,                              , Mindful Solo Meal                                   , Eat a meal by yourself while doing nothing else focusing only on the food                                                                                                                                                                       , Growth/Self                         , Hours         , Complete a full mindful meal with no distractions                                                                               , sherm.the.worm ,       ,              ,             , 
   ,                              , Run Through Sprinklers                              , Run through sprinklers like a kid                                                                                                                                                                                                               , Absurd                              , Hours         , Video of running through sprinklers                                                                                             , sherm.the.worm ,       ,              ,             , 
   ,                              , Stranger Matchmaker                                 , Approach a stranger and tell them your friend thinks they're cute. Then approach a different stranger and say the same. Introduce the two strangers to each other.                                                                              , Social & Absurd                     , Hours         , Successfully introduce two strangers who agree to meet                                                                          , gaberoni24     ,       ,              ,             , 
   ,                              , Fake Birthday at 3 Events                           , Tell everyone it's your birthday and get everyone to sing happy birthday to you at 3 different events in one day                                                                                                                                , Absurd & Social                     , Hours         , Happy birthday sung at 3 events in a single day                                                                                 , happyness42069 ,       ,              ,             , 
   ,                              , Learn to Rappel                                     , Learn to rappel down a cliff or wall                                                                                                                                                                                                            , Physical & Achievement              , Hours         , Complete a rappelling descent                                                                                                   , pancakefry     ,       ,              ,             , 
   ,                              , Go Ice Blocking                                     , Go ice blocking down a grassy hill                                                                                                                                                                                                              , Absurd & Social                     , Hours         , Complete an ice blocking session                                                                                                , pancakefry     ,       ,              ,             , 
   ,                              , Eat 20-Cereal Bowl                                  , Eat a bowl of cereal containing at least 20 different types of cereal                                                                                                                                                                           , Absurd                              , Hours         , Photo of 20+ cereal bowl and consumption                                                                                        , pancakefry     ,       ,              ,             , 
   ,                              , Tour a Water Treatment Facility                     , Tour a water treatment facility                                                                                                                                                                                                                 , Growth/Self                         , Hours         , Complete a water treatment plant tour                                                                                           , daddyfestivus  ,       ,              ,             , 
   ,                              , Tour a Landfill or Recycling Center                 , Tour a landfill or recycling center                                                                                                                                                                                                             , Growth/Self                         , Hours         , Complete a landfill or recycling facility tour                                                                                  , daddyfestivus  ,       ,              ,             , 
   ,                              , Eat an Entire Costco Item                           , Pick a food item at Costco and eat all of it in one sitting within 3 hours                                                                                                                                                                      , Absurd                              , Hours         , Consume an entire Costco-sized food item                                                                                        , daddyfestivus  ,       ,              ,             , 
   ,                              , Restaurant Food Challenge                           , Complete a food challenge at a restaurant (like eating a giant meatball in one sitting)                                                                                                                                                         , Absurd                              , Hours         , Complete an official restaurant food challenge                                                                                  , daddyfestivus  ,       ,              ,             , 
   ,                              , Jump Off a High Dive                                , Jump off the high diving board at a local community pool                                                                                                                                                                                        , Physical & Growth/Self              , Hours         , Complete a high dive jump                                                                                                       , daddyfestivus  ,       ,              ,             , 
   ,                              , Old Jazzercise Class in Costume                     , Do an old jazzercise class from the 80s/90s wearing the full retro workout outfit                                                                                                                                                               , Absurd & Physical                   , Hours         , Complete a vintage jazzercise class in retro attire with photo proof                                                            , daddyfestivus  ,       ,              ,             , 
   ,                              , Watch a Documentary on an Unknown Topic             , Watch a documentary about something you know nothing about                                                                                                                                                                                      , Growth/Self                         , Hours         , Watch and reflect on a documentary in an unfamiliar subject                                                                     , daddyfestivus  ,       ,              ,             , 
   ,                              , Check Out 100 Library Books at Once                 , Check out the maximum number of books at once at the library (100)                                                                                                                                                                              , Absurd                              , Hours         , Check out 100 books at once from the library                                                                                    , daddyfestivus  ,       ,              ,             , 
   ,                              , Active Album Listen and Rank                        , Listen to an entire album while doing nothing else then rank the songs                                                                                                                                                                          , Growth/Self & Creative              , Hours         , Complete active listen and written song ranking                                                                                 , daddyfestivus  ,       ,              ,             , 
   ,                              , See a New Type of Live Performance                  , See a live performance of a type you've never seen before (ballet specific dance style etc.)                                                                                                                                                    , Growth/Self & Social                , Hours         , Attend a new-to-you type of live performance                                                                                    , daddyfestivus  ,       ,              ,             , 
   ,                              , Peer Review Someone's Essay                         , Peer review someone else's essay with genuine feedback                                                                                                                                                                                          , Social & Growth/Self                , Hours         , Complete a written peer review                                                                                                  , daddyfestivus  ,       ,              ,             , 
   ,                              , Milk Mile                                           , Complete a milk mile (run a mile drink a gallon of milk in intervals) or vegan equivalent                                                                                                                                                       , Physical & Absurd                   , Hours         , Complete a milk mile                                                                                                            , daddyfestivus  ,       ,              ,             , 
   ,                              , Donate to a Kid's Fundraiser                        , Donate to a kid you know who is doing fundraising for a sport or activity                                                                                                                                                                       , Social & Growth/Self                , Hours         , Make a donation to a child's fundraiser                                                                                         , daddyfestivus  ,       ,              ,             , 
   ,                              , Update All Unsafe Passwords                         , Update all of your unsafe reused or leaked passwords                                                                                                                                                                                            , Achievement                         , Hours         , All flagged passwords updated to unique secure ones                                                                             , daddyfestivus  ,       ,              ,             , 
   ,                              , Get Your Food Handler's Permit                      , Get your food handler's permit/certification                                                                                                                                                                                                    , Achievement                         , Hours         , Receive official food handler's permit                                                                                          , daddyfestivus  ,       ,              ,             , 
   ,                              , Do a Slip N Slide                                   , Set up and ride a slip n slide                                                                                                                                                                                                                  , Absurd                              , Hours         , Complete a slip n slide session                                                                                                 , daddyfestivus  ,       ,              ,             , 
   ,                              , Buy a Lottery Ticket                                , Buy a lottery ticket                                                                                                                                                                                                                            , Absurd                              , Hours         , Purchase a lottery ticket                                                                                                       , daddyfestivus  ,       ,              ,             , 
   ,                              , Go Zorbing                                          , Go zorbing (rolling downhill in a giant inflatable ball)                                                                                                                                                                                        , Absurd & Physical                   , Hours         , Complete a zorbing experience                                                                                                   , daddyfestivus  ,       ,              ,             , 
   ,                              , Stare at One Art Piece for 2 Hours                  , At an art museum look at one piece for at least 2 hours straight                                                                                                                                                                                , Growth/Self                         , Hours         , 2+ hours spent contemplating a single artwork                                                                                   , cookie.mobster ,       ,              ,             , 
   ,                              , Play Chess at a Local Club                          , Play a game of chess at a local chess club                                                                                                                                                                                                      , Social & Achievement                , Hours         , Complete a chess game at a club                                                                                                 , nerdinc        ,       ,              ,             , 
   ,                              , Bowl a Turkey                                       , Bowl a turkey (3 strikes in a row) in a single bowling game                                                                                                                                                                                     , Achievement & Absurd                , Hours         , 3 consecutive strikes documented                                                                                                , abbs2882       ,       ,              ,             , 
   ,                              , Volunteer at a Pet Shelter                          , Volunteer at a pet shelter                                                                                                                                                                                                                      , Growth/Self & Social                , Hours         , Complete a volunteer session at a pet shelter                                                                                   , abbs2882       ,       ,              ,             , 
   ,                              , See an Artist You've Always Wanted to See           , Go see a musical artist live that you've always wanted to see                                                                                                                                                                                   , Growth/Self & Social                , Hours         , Attend the concert with photo/ticket proof                                                                                      , lewcis         ,       ,              ,             , 
   ,                              , Make Butter by Running                              , Make your own butter by running with cream                                                                                                                                                                                                      , Absurd & Creative                   , Hours         , Successfully make butter through running                                                                                        , lewcis         ,       ,              ,             , 
   ,                              , Score a Bullseye                                    , Score a bullseye in any competitive target sport (archery darts curling etc.)                                                                                                                                                                   , Physical & Achievement              , Hours         , Photo/video of bullseye hit                                                                                                     , thatdragonadara,       ,              ,             , 
   ,                              , Eat Fresh Durian                                    , Eat fresh durian fruit                                                                                                                                                                                                                          , Absurd                              , Hours         , Photo/video of eating fresh durian                                                                                              , nikikees       ,       ,              ,             , 
   ,                              , Open a Can with No Can Opener                       , Open a can of beans with no can opener                                                                                                                                                                                                          , Absurd                              , Hours         , Successfully open a can without a can opener                                                                                    , nikikees       ,       ,              ,             , 
   ,                              , Create an Effigy in the Woods                       , Create an effigy deep in the woods                                                                                                                                                                                                              , Creative & Absurd                   , Hours         , Photo of a completed effigy in the woods                                                                                        , vikingnips     ,       ,              ,             , 
   ,                              , Swap Outfits with a Stranger                        , Get a stranger to swap outfits with you (underwear excluded)                                                                                                                                                                                    , Absurd & Social                     , Hours         , Photo of outfit swap with a stranger                                                                                            , crabccea       ,       ,              ,             , 
   ,                              , Go Geocaching                                       , Go geocaching and find caches                                                                                                                                                                                                                   , Achievement                         , Hours         , Document geocaches found                                                                                                        , lolaikl        ,       ,              ,             , 
   ,                              , Leave a Geocache                                    , Leave a geocache for someone else to find                                                                                                                                                                                                       , Creative & Achievement              , Hours         , Place a geocache and register it                                                                                                , lolaikl        ,       ,              ,             , 
   ,                              , Do a Cold Plunge                                    , Do a cold plunge in cold water                                                                                                                                                                                                                  , Physical                            , Hours         , Photo/video of cold plunge                                                                                                      , lolaikl        ,       ,              ,             , 
559, 2026-02-03 23:47:26.555825+00, The Protected Call                                  , Schedule a recurring monthly call with someone important and complete 3 consecutive months                                                                                                                                                      , Social & Growth/Self                , IDEK          , 3 consecutive monthly calls completed                                                                                           ,                ,     10,              ,            0, 
567, 2026-02-03 23:47:26.555825+00, Find a Mentor                                       , Approach someone whose path you admire and ask for mentorship                                                                                                                                                                                   , Growth/Self                         , IDEK          , Person identified - ask made - at least 3 meetings happened                                                                     ,                ,     19,              ,            0, 
